version,1.0,,,,,,,,,,,,,,,
codebook_name,M3E1,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
name,numeric_id,id,barcode,,,,,,,,,,,,,
Hif1a,36,ENSMUST00000021530,1  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0,,,,,,,,,,,,,
Hk2,37,ENSMUST00000000642,0  1  0  0  1  0  0  0  0  0  0  1  1  0  0  0,,,,,,,,,,,,,
Icos,38,ENSMUST00000102827,0  0  0  0  0  1  0  1  0  1  1  0  0  0  0  0,,,,,,,,,,,,,
Ikzf2,39,ENSMUST00000027146,0  0  1  0  0  1  1  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,
Ikzf4,40,ENSMUST00000133342,0  1  0  0  0  0  0  0  0  1  1  0  1  0  0  0,,,,,,,,,,,,,
Il12rb2,41,ENSMUST00000018485,0  0  0  1  0  1  0  0  0  0  1  0  0  0  1  0,,,,,,,,,,,,,
Il17ra,42,ENSMUST00000002976,0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  0,,,,,,,,,,,,,
Il21r,43,ENSMUST00000033000,0  0  0  0  0  0  1  1  0  0  0  1  0  0  1  0,,,,,,,,,,,,,
Il5ra,44,ENSMUST00000204659,0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  1,,,,,,,,,,,,,
Itgb2l,45,ENSMUST00000000161,1  1  0  0  0  0  0  0  0  1  0  0  0  0  1  0,,,,,,,,,,,,,
Jun,46,ENSMUST00000107094,1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1,,,,,,,,,,,,,
Klri2,47,ENSMUST00000050385,1  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,
Kras,48,ENSMUST00000032399,0  0  1  0  0  0  0  0  0  0  0  0  0  1  1  1,,,,,,,,,,,,,
Lamp3,49,ENSMUST00000081880,0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  1,,,,,,,,,,,,,
Maf,50,ENSMUST00000109104,0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  1,,,,,,,,,,,,,
Map2k1,51,ENSMUST00000005066,0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0,,,,,,,,,,,,,
Map2k2,52,ENSMUST00000143517,1  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0,,,,,,,,,,,,,
Mapk1,53,ENSMUST00000069107,0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  0,,,,,,,,,,,,,
Marco,54,ENSMUST00000027639,0  0  1  0  1  0  1  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,
Met,55,ENSMUST00000115443,0  0  0  1  0  0  1  0  0  0  0  0  0  1  1  0,,,,,,,,,,,,,
Mgam,56,ENSMUST00000071535,0  0  1  0  0  1  0  0  0  0  0  0  1  1  0  0,,,,,,,,,,,,,
Ms4a1,57,ENSMUST00000169159,0  0  1  1  0  0  0  1  0  0  1  0  0  0  0  0,,,,,,,,,,,,,
Msr1,58,ENSMUST00000170091,0  0  0  1  0  0  0  1  0  1  0  0  0  0  1  0,,,,,,,,,,,,,
Mtor,59,ENSMUST00000103221,1  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1,,,,,,,,,,,,,
Nup107,60,ENSMUST00000064848,1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0,,,,,,,,,,,,,
Oas3,61,ENSMUST00000044833,0  1  0  1  0  0  0  0  1  0  0  0  1  0  0  0,,,,,,,,,,,,,
Padi4,62,ENSMUST00000026381,0  1  0  0  0  0  1  1  1  0  0  0  0  0  0  0,,,,,,,,,,,,,
Pdcd1,63,ENSMUST00000027507,0  0  0  1  0  0  1  0  0  1  0  1  0  0  0  0,,,,,,,,,,,,,
Pdgfc,64,ENSMUST00000029652,0  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0,,,,,,,,,,,,,
Pdk1,65,ENSMUST00000006669,0  0  0  1  1  1  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,
Pik3ca,66,ENSMUST00000029201,0  0  1  0  0  0  1  0  0  0  1  0  1  0  0  0,,,,,,,,,,,,,
Pik3cd,67,ENSMUST00000105688,1  0  0  0  0  0  0  1  1  0  0  0  1  0  0  0,,,,,,,,,,,,,
Pik3cg,68,ENSMUST00000053215,0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  1,,,,,,,,,,,,,
Pik3r1,69,ENSMUST00000055518,0  0  0  0  1  0  0  1  1  0  0  0  0  1  0  0,,,,,,,,,,,,,
Pik3r2,70,ENSMUST00000034296,1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  1,,,,,,,,,,,,,
Pik3r5,71,ENSMUST00000021283,1  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,
Pkm,72,ENSMUST00000034834,0  0  0  0  0  1  1  0  1  0  0  0  1  0  0  0,,,,,,,,,,,,,
Pla2g6,73,ENSMUST00000174021,0  1  0  1  0  1  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,
Plcg1,74,ENSMUST00000103115,1  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0,,,,,,,,,,,,,
Prf1,75,ENSMUST00000219375,0  1  0  0  0  1  0  1  0  0  0  0  1  0  0  0,,,,,,,,,,,,,
Prkcb,76,ENSMUST00000064989,1  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,
Pten,77,ENSMUST00000013807,0  0  0  0  1  1  1  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,
Ptgdr2,78,ENSMUST00000037261,0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  1,,,,,,,,,,,,,
Ptprc,79,ENSMUST00000183301,0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  1,,,,,,,,,,,,,
Rac1,80,ENSMUST00000080537,0  0  0  0  0  0  0  0  0  1  0  1  0  1  1  0,,,,,,,,,,,,,
Rac2,81,ENSMUST00000043214,0  0  0  0  0  0  0  1  1  0  1  0  0  0  1  0,,,,,,,,,,,,,
Raf1,82,ENSMUST00000000451,0  0  1  0  1  0  0  0  0  1  0  0  0  1  0  0,,,,,,,,,,,,,
Reps1,83,ENSMUST00000126390,0  0  0  0  1  0  0  1  0  0  1  0  1  0  0  0,,,,,,,,,,,,,
Rorc,84,ENSMUST00000029795,0  0  0  0  0  1  0  0  1  0  0  1  0  1  0  0,,,,,,,,,,,,,
Rps6kb1,85,ENSMUST00000154617,0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,
Slc2a1,86,ENSMUST00000030398,0  0  1  0  1  0  0  0  0  0  0  1  0  0  1  0,,,,,,,,,,,,,
Slc44a4,87,ENSMUST00000007249,1  1  0  0  0  1  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,
Smad2,88,ENSMUST00000168423,0  0  1  0  0  1  0  0  1  0  1  0  0  0  0  0,,,,,,,,,,,,,
Smpd3,89,ENSMUST00000067512,0  0  0  1  0  0  0  1  0  0  0  1  0  1  0  0,,,,,,,,,,,,,
Sp1,90,ENSMUST00000001326,1  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0,,,,,,,,,,,,,
Spib,91,ENSMUST00000035323,0  0  0  0  0  0  1  0  1  0  1  1  0  0  0  0,,,,,,,,,,,,,
Stat4,92,ENSMUST00000027277,0  1  0  1  1  0  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,
Stat6,93,ENSMUST00000092074,1  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0,,,,,,,,,,,,,
Tbx21,94,ENSMUST00000001484,1  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,
Zbtb16,95,ENSMUST00000093852,0  0  0  0  0  0  1  0  0  1  0  0  1  0  1  0,,,,,,,,,,,,,
Zfp13,96,ENSMUST00000057029,1  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,
blank_01,-1,,1  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0,,,,,,,,,,,,,
blank_02,-1,,1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,
blank_03,-1,,0  1  0  0  1  1  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,
blank_04,-1,,0  0  1  0  0  0  0  0  0  1  1  0  0  0  1  0,,,,,,,,,,,,,
blank_05,-1,,0  0  1  1  0  1  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,
blank_06,-1,,0  0  0  0  1  1  0  1  0  0  0  1  0  0  0  0,,,,,,,,,,,,,
Adamts7,97,ENSMUST00000113060,1  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0,,,,,,,,,,,,,
Adgrg6,98,ENSMUST00000041168,0  0  0  0  0  0  0  1  0  0  0  0  1  1  1  0,,,,,,,,,,,,,
Ado,99,ENSMUST00000075686,0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0,,,,,,,,,,,,,
Arhgef11,100,ENSMUST00000039476,1  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0,,,,,,,,,,,,,
Atg9b,101,ENSMUST00000059401,0  1  0  1  0  0  0  0  0  0  1  0  0  1  0  0,,,,,,,,,,,,,
Baz2b,102,ENSMUST00000112550,0  0  1  1  1  0  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,
Brsk1,103,ENSMUST00000048248,0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1,,,,,,,,,,,,,
Ckap2,104,ENSMUST00000046916,0  1  0  1  0  0  0  0  0  1  0  0  0  0  0  1,,,,,,,,,,,,,
Crtc1,105,ENSMUST00000076615,0  1  1  0  0  0  0  1  0  0  0  0  0  1  0  0,,,,,,,,,,,,,
Ddx11,106,ENSMUST00000163605,1  0  0  0  0  0  0  0  0  0  0  1  1  0  0  1,,,,,,,,,,,,,
Dis3l,107,ENSMUST00000168844,0  0  0  0  1  1  0  0  0  1  0  0  1  0  0  0,,,,,,,,,,,,,
Eea1,108,ENSMUST00000053484,0  0  0  0  0  0  1  0  0  0  0  1  1  1  0  0,,,,,,,,,,,,,
Git1,109,ENSMUST00000037285,0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  1,,,,,,,,,,,,,
Gm996,110,ENSMUST00000188161,0  0  1  1  0  0  0  0  1  0  0  0  0  0  1  0,,,,,,,,,,,,,
Gnptab,111,ENSMUST00000020251,1  0  0  0  0  0  0  0  0  0  1  0  1  0  1  0,,,,,,,,,,,,,
Gprasp1,112,ENSMUST00000113144,0  1  1  0  0  0  1  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,
Hecw2,113,ENSMUST00000087659,1  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,
Itga8,114,ENSMUST00000028106,0  0  0  1  1  0  1  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,
Kdm2b,115,ENSMUST00000046073,0  0  1  0  0  0  0  1  1  1  0  0  0  0  0  0,,,,,,,,,,,,,
Maml3,116,ENSMUST00000121440,1  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,
Mreg,117,ENSMUST00000048860,0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  1,,,,,,,,,,,,,
Nckap5l,118,ENSMUST00000023747,0  0  1  0  0  0  0  0  0  0  1  1  0  1  0  0,,,,,,,,,,,,,
Nuak1,119,ENSMUST00000020220,0  0  0  0  0  1  1  0  0  0  1  0  0  1  0  0,,,,,,,,,,,,,
Pcdhac2,120,ENSMUST00000047479,1  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0,,,,,,,,,,,,,
Pid1,121,ENSMUST00000168574,0  0  0  1  0  0  0  0  1  1  1  0  0  0  0  0,,,,,,,,,,,,,
Ppp1r26,122,ENSMUST00000040324,0  1  0  0  0  0  0  0  1  0  0  1  0  0  1  0,,,,,,,,,,,,,
Primpol,123,ENSMUST00000040468,0  1  0  0  0  0  0  0  1  1  0  0  0  1  0  0,,,,,,,,,,,,,
Rab11fip5,124,ENSMUST00000204087,0  0  0  0  0  1  0  0  0  0  1  1  1  0  0  0,,,,,,,,,,,,,
Rab3ip,125,ENSMUST00000020375,0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,
Rab44,126,ENSMUST00000132262,0  0  0  1  0  0  1  1  0  0  0  0  1  0  0  0,,,,,,,,,,,,,
Scarf1,127,ENSMUST00000042808,0  0  0  0  0  0  0  0  1  0  1  0  1  1  0  0,,,,,,,,,,,,,
Scube3,128,ENSMUST00000043503,0  1  0  0  0  1  0  0  0  1  0  1  0  0  0  0,,,,,,,,,,,,,
Slc35d2,129,ENSMUST00000099441,1  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0,,,,,,,,,,,,,
Smg7,130,ENSMUST00000073441,0  0  0  0  0  0  0  0  1  1  0  0  1  0  0  1,,,,,,,,,,,,,
Tmem151a,131,ENSMUST00000077066,0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0,,,,,,,,,,,,,
Tnip3,132,ENSMUST00000114236,0  0  0  1  1  0  0  0  1  0  0  1  0  0  0  0,,,,,,,,,,,,,
Txlna,133,ENSMUST00000084264,0  1  0  0  0  0  0  0  0  0  0  0  1  1  0  1,,,,,,,,,,,,,
