,name,numeric_id,id,barcode
19,Arl5c,19,NM_207231,0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1
20,Atad2,20,NM_027435,1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0
21,Atp6v0d2,21,NM_175406,0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  1  0
22,Atp6v1b2,22,NM_007509,0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  1  0
23,Bgn,23,NM_007542,0  1  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
24,Bhlhe41,24,NM_024469,0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1
25,Birc5,25,NM_009689,0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0
26,Bnip3,26,NM_009760,1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0
27,C1qa,27,NM_007572,0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0
28,C1qb,28,NM_009777,0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0
29,C1qc,29,NM_007574,0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0
30,C4b,30,NM_009780,0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1
31,Camk4,31,NM_009793,0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  0
32,Car9,32,NM_139305,1  0  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0
33,Cbr2,33,NM_007621,0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  0
34,Ccl12,34,NM_011331,1  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0
35,Ccl17,35,NM_011332,0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0
36,Ccl22,36,NM_009137,0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  1  0  0  0
37,Ccl5,37,NM_013653,0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
38,Ccl6,38,NM_009139,0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0
39,Ccl8,39,NM_021443,0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  1  0  0
40,Ccnb2,40,NM_007630,1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1
