version,Harvard mouse cortex,,,,,,,,,,,,,,,,,,,,,
codebook,,,,,,,,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
name,numeric_id,id,barcode,,,,,,,,,,,,,,,,,,,
Dmkn,69,ENSMUST0070,0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Dnase1l3,70,ENSMUST0071,0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0,,,,,,,,,,,,,,,,,,,
Dscaml1,71,ENSMUST0072,0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Egfem1,72,ENSMUST0073,0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Egfr,73,ENSMUST0074,0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Egln3,74,ENSMUST0075,0  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Egr2,75,ENSMUST0076,0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1,,,,,,,,,,,,,,,,,,,
Elfn1,76,ENSMUST0077,1  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Enpp6,77,ENSMUST0078,0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Epha7,78,ENSMUST0079,0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Fam19a2,79,ENSMUST0080,0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0,,,,,,,,,,,,,,,,,,,
Fam84b,80,ENSMUST0081,0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Fbxl7,81,ENSMUST0082,1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Fezf2,82,ENSMUST0083,0  0  0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Flrt3,83,ENSMUST0084,1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Flt1,84,ENSMUST0085,0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1,,,,,,,,,,,,,,,,,,,
Fndc7,85,ENSMUST0086,1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Fosb,86,ENSMUST0087,0  0  0  0  0  1  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Foxp2,87,ENSMUST0088,0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Frem2,88,ENSMUST0089,0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Fst,89,ENSMUST0090,0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Gfap,90,ENSMUST0091,1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Glra1,91,ENSMUST0092,0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Gpc6,92,ENSMUST0093,1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Grik1,93,ENSMUST0094,0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Grin3a,94,ENSMUST0095,1  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Grm1,95,ENSMUST0096,0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Grm8,96,ENSMUST0097,0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Hpse,97,ENSMUST0098,0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Hs3st5,98,ENSMUST0099,0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Igf2,99,ENSMUST0100,1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Igfbp4,100,ENSMUST0101,0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Igfbp5,101,ENSMUST0102,1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0,,,,,,,,,,,,,,,,,,,
Ikzf2,102,ENSMUST0103,0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Il1rapl2,103,ENSMUST0104,0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
