,version,Vancouver XP7049,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
80,Pten,ENSMUST00000013807,77,0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0,156,,,,,,,,,,,,,,,,,,
81,Ptgdr2,ENSMUST00000037261,78,0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1,0,,,,,,,,,,,,,,,,,,
82,Ptprc,ENSMUST00000183301,79,0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1,0,,,,,,,,,,,,,,,,,,
83,Rac1,ENSMUST00000080537,80,0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0,4042,,,,,,,,,,,,,,,,,,
84,Rac2,ENSMUST00000043214,81,0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0,1,,,,,,,,,,,,,,,,,,
85,Raf1,ENSMUST00000000451,82,0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0,288,,,,,,,,,,,,,,,,,,
86,Reps1,ENSMUST00000126390,83,0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0,473,,,,,,,,,,,,,,,,,,
87,Rorc,ENSMUST00000029795,84,0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0,11,,,,,,,,,,,,,,,,,,
88,Rps6kb1,ENSMUST00000154617,85,0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1,298,,,,,,,,,,,,,,,,,,
89,Slc2a1,ENSMUST00000030398,86,0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0,301,,,,,,,,,,,,,,,,,,
90,Slc44a4,ENSMUST00000007249,87,1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
91,Smad2,ENSMUST00000168423,88,0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0,367,,,,,,,,,,,,,,,,,,
92,Smpd3,ENSMUST00000067512,89,0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0,0,,,,,,,,,,,,,,,,,,
93,Sp1,ENSMUST00000001326,90,1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0,63,,,,,,,,,,,,,,,,,,
94,Spib,ENSMUST00000035323,91,0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0,2,,,,,,,,,,,,,,,,,,
95,Stat4,ENSMUST00000027277,92,0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0,0,,,,,,,,,,,,,,,,,,
96,Stat6,ENSMUST00000092074,93,1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0,391,,,,,,,,,,,,,,,,,,
97,Tbx21,ENSMUST00000001484,94,1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0,0,,,,,,,,,,,,,,,,,,
98,Zbtb16,ENSMUST00000093852,95,0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0,0,,,,,,,,,,,,,,,,,,
99,Zfp13,ENSMUST00000057029,96,1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0,10,,,,,,,,,,,,,,,,,,
100,Adamts7,ENSMUST00000113060,97,1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0,6,,,,,,,,,,,,,,,,,,
101,Adgrg6,ENSMUST00000041168,98,0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0,122,,,,,,,,,,,,,,,,,,
102,Ado,ENSMUST00000075686,99,0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0,116,,,,,,,,,,,,,,,,,,
103,Arhgef11,ENSMUST00000039476,100,1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0,30,,,,,,,,,,,,,,,,,,
104,Atg9b,ENSMUST00000059401,101,0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0,75,,,,,,,,,,,,,,,,,,
105,Baz2b,ENSMUST00000112550,102,0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0,122,,,,,,,,,,,,,,,,,,
106,Brsk1,ENSMUST00000048248,103,0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1,63,,,,,,,,,,,,,,,,,,
107,Ckap2,ENSMUST00000046916,104,0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1,433,,,,,,,,,,,,,,,,,,
108,Crtc1,ENSMUST00000076615,105,0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0,40,,,,,,,,,,,,,,,,,,
109,Ddx11,ENSMUST00000163605,106,1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1,134,,,,,,,,,,,,,,,,,,
110,Dis3l,ENSMUST00000168844,107,0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0,105,,,,,,,,,,,,,,,,,,
111,Eea1,ENSMUST00000053484,108,0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0,129,,,,,,,,,,,,,,,,,,
112,Git1,ENSMUST00000037285,109,0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1,603,,,,,,,,,,,,,,,,,,
113,Gm996,ENSMUST00000188161,110,0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0,0,,,,,,,,,,,,,,,,,,
